Id,Name,Surname,Initials,Age,DateofBirth
1,Hitman,Swazi,HS,72,05/02/1950
2,Ghazi,Trump,GT,84,20/04/1938
3,Ryan,Nel,RN,120,28/10/1902
4,Chester,Trump,CT,59,03/01/1963
5,Ntokozo,Mthembu,NM,116,23/08/1906
6,Nick,Zulu,NZ,23,20/09/1999
7,Dania,Hadebe,DH,29,11/08/1993
8,Chester,Visser,CV,64,12/08/1958
9,Jerry,Moodley,JM,80,28/07/1942
10,Dale,Peters,DP,44,26/04/1978
11,Dania,Jacob,DJ,43,21/08/1979
12,Portia,Zulu,PZ,68,02/04/1954
13,Nathasha,Jacob,NJ,102,25/11/1920
14,Logan,Dube,LD,122,06/04/1900
15,Karabo,De Kock,KD,81,23/11/1941
16,Ryan,De Kock,RD,53,15/08/1969
17,Oscar,De Kock,OD,76,22/12/1946
18,Hitman,Johnson,HJ,58,09/11/1964
19,Nick,Johnson,NJ,81,27/08/1941
20,Mpumi,Grobblar,MG,121,21/06/1901
21,Portia,Hadebe,PH,63,24/07/1959
22,Oscar,Khan,OK,24,11/10/1998
23,Portia,Peters,PP,87,05/02/1935
24,Ryan,Peters,RP,121,15/01/1901
25,Dania,Mthembu,DM,34,12/04/1988
26,Palesa,De Klerk,PD,37,05/04/1985
27,Matt,Moodley,MM,82,07/06/1940
28,Mpumi,Mthembu,MM,110,10/06/1912
29,Ben,De Kock,BD,29,17/04/1993
30,Nick,Nel,NN,58,20/02/1964
31,Palesa,Grobblar,PG,86,05/02/1936
32,Palesa,Grobblar,PG,31,24/02/1991
33,Jerry,Mthembu,JM,52,19/03/1970
34,Dale,Khan,DK,36,04/09/1986
35,Nathasha,Grobblar,NG,119,15/05/1903
36,Dale,Khan,DK,56,04/12/1966
37,Jerry,Benjami,JB,80,24/09/1942
38,Ryan,Trump,RT,78,03/03/1944
39,Karabo,Moodley,KM,59,16/06/1963
40,Lilly,Moodley,LM,35,07/03/1987
41,Dania,Mthembu,DM,119,12/03/1903
42,Ghazi,Dube,GD,55,18/08/1967
43,Nick,Swazi,NS,115,21/01/1907
44,Ntokozo,Benjami,NB,112,11/04/1910
45,Mpumi,Mthembu,MM,57,01/02/1965
46,Jack,Benjami,JB,103,24/12/1919
47,Oscar,Dube,OD,55,25/02/1967
48,Jerry,Johnson,JJ,49,11/12/1973
49,Ghazi,Peters,GP,31,08/06/1991
50,Hitman,Dube,HD,58,01/10/1964
51,Nick,Dube,ND,27,08/02/1995
52,Dale,Moodley,DM,91,24/10/1931
53,Matt,Benjami,MB,31,18/07/1991
54,Lilly,Moodley,LM,118,10/07/1904
55,Dale,Donker,DD,56,23/10/1966
56,Ghazi,Peters,GP,110,22/11/1912
57,Hitman,Zulu,HZ,74,22/04/1948
58,Nathasha,Moodley,NM,88,20/05/1934
59,Matt,Nel,MN,76,02/11/1946
60,Jerry,De Klerk,JD,35,04/02/1987
61,Ben,Moodley,BM,66,04/11/1956
62,Chester,Dube,CD,36,25/05/1986
63,Dania,Donker,DD,60,04/12/1962
64,Matt,Benjami,MB,56,06/06/1966
65,Mpumi,De Kock,MD,69,12/02/1953
66,Dale,Donker,DD,44,04/05/1978
67,Chester,De Kock,CD,75,07/01/1947
68,Dale,Grobblar,DG,118,01/12/1904
69,Portia,Pele,PP,67,21/08/1955
70,Karabo,Trump,KT,88,21/06/1934
71,Ryan,Moodley,RM,63,15/11/1959
72,Palesa,Zulu,PZ,80,07/09/1942
73,Jack,Hadebe,JH,52,08/04/1970
74,Jerry,Peters,JP,86,20/08/1936
75,Matt,De Kock,MD,95,20/02/1927
76,Lilly,Nel,LN,96,13/08/1926
77,Karabo,Dube,KD,121,07/01/1901
78,Portia,De Kock,PD,106,04/03/1916
79,Oscar,De Kock,OD,22,24/02/2000
80,Matt,Stroud,MS,104,15/12/1918
81,Portia,Jacob,PJ,107,22/07/1915
82,Jack,Dube,JD,87,23/03/1935
83,Mpumi,Visser,MV,79,14/08/1943
84,Dale,Johnson,DJ,74,07/02/1948
85,Palesa,Pele,PP,121,02/08/1901
86,Ghazi,Mthembu,GM,86,25/04/1936
87,Ghazi,Peters,GP,36,23/12/1986
88,Nick,Swazi,NS,59,04/02/1963
89,Logan,Swazi,LS,113,17/03/1909
90,Oscar,Pele,OP,26,07/06/1996
91,Karabo,Nel,KN,28,10/05/1994
92,Portia,Visser,PV,83,20/01/1939
93,Jerry,Pele,JP,30,21/04/1992
94,Matt,Mthembu,MM,84,09/03/1938
95,Karabo,Stroud,KS,77,20/11/1945
96,Oscar,Donker,OD,115,08/02/1907
97,Palesa,Grobblar,PG,86,14/12/1936
98,Ntokozo,Pele,NP,44,21/07/1978
99,Nick,Grobblar,NG,119,17/07/1903
100,Oscar,Hadebe,OH,88,13/08/1934
